precinct,Month,ComplainCount,ArrestCount,Borough
112.0,5,78,101,QUEENS
112.0,6,73,106,QUEENS
112.0,7,62,105,QUEENS
112.0,8,98,102,QUEENS
112.0,9,53,102,QUEENS
112.0,10,81,103,QUEENS
112.0,11,65,117,QUEENS
112.0,12,72,130,QUEENS
113.0,1,56,433,QUEENS
113.0,2,50,424,QUEENS
113.0,3,82,484,QUEENS
113.0,4,120,433,QUEENS
113.0,5,199,441,QUEENS
113.0,6,306,536,QUEENS
113.0,7,330,452,QUEENS
113.0,8,298,451,QUEENS
113.0,9,335,440,QUEENS
113.0,10,162,448,QUEENS
113.0,11,91,423,QUEENS
113.0,12,102,347,QUEENS
114.0,1,254,380,QUEENS
114.0,2,278,377,QUEENS
114.0,3,305,386,QUEENS
114.0,4,395,400,QUEENS
114.0,5,470,372,QUEENS
114.0,6,402,406,QUEENS
114.0,7,388,419,QUEENS
114.0,8,341,391,QUEENS
114.0,9,404,334,QUEENS
114.0,10,465,410,QUEENS
114.0,11,327,375,QUEENS
114.0,12,384,351,QUEENS
115.0,1,125,306,QUEENS
115.0,2,150,354,QUEENS
115.0,3,188,416,QUEENS
115.0,4,322,354,QUEENS
115.0,5,446,337,QUEENS
115.0,6,432,348,QUEENS
115.0,7,422,299,QUEENS
115.0,8,343,320,QUEENS
115.0,9,387,320,QUEENS
115.0,10,320,385,QUEENS
115.0,11,156,302,QUEENS
115.0,12,181,314,QUEENS
120.0,1,110,317,STATEN ISLAND
120.0,2,120,293,STATEN ISLAND
120.0,3,150,363,STATEN ISLAND
120.0,4,225,342,STATEN ISLAND
120.0,5,274,370,STATEN ISLAND
120.0,6,354,340,STATEN ISLAND
120.0,7,259,266,STATEN ISLAND
120.0,8,221,359,STATEN ISLAND
120.0,9,212,452,STATEN ISLAND
120.0,10,194,406,STATEN ISLAND
120.0,11,126,336,STATEN ISLAND
120.0,12,147,369,STATEN ISLAND
121.0,1,23,288,STATEN ISLAND
121.0,2,42,269,STATEN ISLAND
121.0,3,50,305,STATEN ISLAND
121.0,4,84,253,STATEN ISLAND
121.0,5,131,310,STATEN ISLAND
121.0,6,220,271,STATEN ISLAND
121.0,7,203,281,STATEN ISLAND
121.0,8,175,265,STATEN ISLAND
121.0,9,158,229,STATEN ISLAND
121.0,10,91,251,STATEN ISLAND
121.0,11,40,228,STATEN ISLAND
121.0,12,69,224,STATEN ISLAND
122.0,1,50,113,STATEN ISLAND
122.0,2,37,160,STATEN ISLAND
122.0,3,72,158,STATEN ISLAND
122.0,4,59,154,STATEN ISLAND
122.0,5,120,161,STATEN ISLAND
122.0,6,202,166,STATEN ISLAND
122.0,7,158,177,STATEN ISLAND
122.0,8,152,190,STATEN ISLAND
122.0,9,148,139,STATEN ISLAND
122.0,10,111,134,STATEN ISLAND
122.0,11,89,129,STATEN ISLAND
122.0,12,75,147,STATEN ISLAND
123.0,1,8,103,STATEN ISLAND
123.0,2,8,106,STATEN ISLAND
123.0,3,8,113,STATEN ISLAND
123.0,4,11,92,STATEN ISLAND
123.0,5,52,155,STATEN ISLAND
123.0,6,85,134,STATEN ISLAND
123.0,7,96,115,STATEN ISLAND
123.0,8,69,116,STATEN ISLAND
123.0,9,45,116,STATEN ISLAND
123.0,10,39,131,STATEN ISLAND
123.0,11,13,122,STATEN ISLAND
123.0,12,21,85,STATEN ISLAND
