precinct,Month,ComplainCount,ArrestCount,Borough
23.0,11,174,329,MANHATTAN
23.0,12,155,272,MANHATTAN
24.0,1,160,191,MANHATTAN
24.0,2,119,181,MANHATTAN
24.0,3,168,161,MANHATTAN
24.0,4,225,191,MANHATTAN
24.0,5,231,173,MANHATTAN
24.0,6,155,175,MANHATTAN
24.0,7,175,188,MANHATTAN
24.0,8,115,174,MANHATTAN
24.0,9,153,171,MANHATTAN
24.0,10,206,162,MANHATTAN
24.0,11,213,169,MANHATTAN
24.0,12,251,107,MANHATTAN
25.0,1,90,460,MANHATTAN
25.0,2,97,455,MANHATTAN
25.0,3,119,509,MANHATTAN
25.0,4,157,471,MANHATTAN
25.0,5,235,562,MANHATTAN
25.0,6,284,473,MANHATTAN
25.0,7,238,374,MANHATTAN
25.0,8,218,426,MANHATTAN
25.0,9,210,586,MANHATTAN
25.0,10,205,484,MANHATTAN
25.0,11,148,406,MANHATTAN
25.0,12,180,384,MANHATTAN
26.0,1,84,152,MANHATTAN
26.0,2,74,190,MANHATTAN
26.0,3,115,172,MANHATTAN
26.0,4,135,182,MANHATTAN
26.0,5,159,159,MANHATTAN
26.0,6,128,164,MANHATTAN
26.0,7,124,115,MANHATTAN
26.0,8,131,156,MANHATTAN
26.0,9,143,178,MANHATTAN
26.0,10,135,152,MANHATTAN
26.0,11,62,151,MANHATTAN
26.0,12,113,130,MANHATTAN
28.0,1,159,283,MANHATTAN
28.0,2,165,316,MANHATTAN
28.0,3,223,333,MANHATTAN
28.0,4,312,309,MANHATTAN
28.0,5,434,361,MANHATTAN
28.0,6,376,327,MANHATTAN
28.0,7,324,281,MANHATTAN
28.0,8,262,413,MANHATTAN
28.0,9,321,266,MANHATTAN
28.0,10,267,253,MANHATTAN
28.0,11,193,271,MANHATTAN
28.0,12,181,328,MANHATTAN
30.0,1,390,271,MANHATTAN
30.0,2,306,229,MANHATTAN
30.0,3,420,275,MANHATTAN
30.0,4,420,211,MANHATTAN
30.0,5,539,259,MANHATTAN
30.0,6,574,266,MANHATTAN
30.0,7,572,219,MANHATTAN
30.0,8,484,240,MANHATTAN
30.0,9,454,235,MANHATTAN
30.0,10,385,265,MANHATTAN
30.0,11,427,201,MANHATTAN
30.0,12,363,212,MANHATTAN
32.0,1,306,380,MANHATTAN
32.0,2,263,361,MANHATTAN
32.0,3,311,463,MANHATTAN
32.0,4,428,408,MANHATTAN
32.0,5,449,419,MANHATTAN
32.0,6,435,410,MANHATTAN
32.0,7,455,371,MANHATTAN
32.0,8,440,395,MANHATTAN
32.0,9,509,364,MANHATTAN
32.0,10,324,371,MANHATTAN
32.0,11,303,311,MANHATTAN
32.0,12,274,316,MANHATTAN
33.0,1,391,257,MANHATTAN
33.0,2,306,306,MANHATTAN
33.0,3,379,337,MANHATTAN
33.0,4,401,264,MANHATTAN
33.0,5,553,316,MANHATTAN
33.0,6,521,292,MANHATTAN
33.0,7,480,254,MANHATTAN
33.0,8,455,281,MANHATTAN
33.0,9,516,290,MANHATTAN
33.0,10,434,313,MANHATTAN
33.0,11,446,273,MANHATTAN
33.0,12,440,277,MANHATTAN
34.0,1,678,286,MANHATTAN
34.0,2,711,300,MANHATTAN
34.0,3,871,317,MANHATTAN
34.0,4,1020,351,MANHATTAN
34.0,5,1287,357,MANHATTAN
34.0,6,1303,316,MANHATTAN
