Location Type,Incident Zip,City,Borough,Latitude,Longitude,num_calls,index,precinct
Club/Bar/Restaurant,10014.0,NEW YORK,MANHATTAN,40.72860488756345,-74.00531458413064,10,701,6.0
Club/Bar/Restaurant,10012.0,NEW YORK,MANHATTAN,40.72924728304749,-74.00006494462761,68,705,6.0
Club/Bar/Restaurant,10014.0,NEW YORK,MANHATTAN,40.728547276561855,-74.00464710009602,28,723,6.0
Club/Bar/Restaurant,10011.0,NEW YORK,MANHATTAN,40.73875785506075,-74.00019486169344,179,732,6.0
Club/Bar/Restaurant,10012.0,NEW YORK,MANHATTAN,40.72827563770185,-73.9993577791577,37,742,6.0
Club/Bar/Restaurant,10014.0,NEW YORK,MANHATTAN,40.72932960163197,-74.00235604967938,23,778,6.0
Club/Bar/Restaurant,10014.0,NEW YORK,MANHATTAN,40.738532720463716,-74.00387196093777,51,785,6.0
Club/Bar/Restaurant,10012.0,NEW YORK,MANHATTAN,40.72761140149759,-74.00126999709674,23,825,6.0
Club/Bar/Restaurant,10014.0,NEW YORK,MANHATTAN,40.729700080681404,-74.00447760169754,11,869,6.0
Club/Bar/Restaurant,10014.0,NEW YORK,MANHATTAN,40.73908435163629,-74.00545254558875,16,907,6.0
Club/Bar/Restaurant,10011.0,NEW YORK,MANHATTAN,40.73306796866139,-73.99825000275331,40,919,6.0
Club/Bar/Restaurant,10014.0,NEW YORK,MANHATTAN,40.730446660743105,-74.0043044630722,10,926,6.0
Club/Bar/Restaurant,10014.0,NEW YORK,MANHATTAN,40.7326781795197,-74.00330152188506,15,970,6.0
Club/Bar/Restaurant,10014.0,NEW YORK,MANHATTAN,40.73421249736197,-74.00329077299581,32,975,6.0
Club/Bar/Restaurant,10012.0,NEW YORK,MANHATTAN,40.72771021739767,-73.99926758581556,59,985,6.0
Club/Bar/Restaurant,10014.0,NEW YORK,MANHATTAN,40.731506024000566,-74.00666065813924,17,1028,6.0
Club/Bar/Restaurant,10014.0,NEW YORK,MANHATTAN,40.73339717794696,-74.00633971207391,10,1042,6.0
Club/Bar/Restaurant,10012.0,NEW YORK,MANHATTAN,40.727350654273856,-74.00073962609699,14,1054,6.0
Club/Bar/Restaurant,10012.0,NEW YORK,MANHATTAN,40.729099066099174,-74.00019122542267,17,1070,6.0
Club/Bar/Restaurant,10014.0,NEW YORK,MANHATTAN,40.731280952009776,-74.00669671709194,217,1077,6.0
Club/Bar/Restaurant,10011.0,NEW YORK,MANHATTAN,40.739117412981074,-74.0010464851121,90,1080,6.0
Club/Bar/Restaurant,10011.0,NEW YORK,MANHATTAN,40.73278251252018,-73.99814176346149,12,1081,6.0
Club/Bar/Restaurant,10011.0,NEW YORK,MANHATTAN,40.7391009448234,-74.0010067906004,38,1083,6.0
Club/Bar/Restaurant,10012.0,NEW YORK,MANHATTAN,40.72832504382953,-73.99945880225974,35,1092,6.0
Club/Bar/Restaurant,10012.0,NEW YORK,MANHATTAN,40.72860226543579,-74.00006494399898,41,1105,6.0
Club/Bar/Restaurant,10003.0,NEW YORK,MANHATTAN,40.730026646746296,-73.99418377976559,11,1115,6.0
Club/Bar/Restaurant,10012.0,NEW YORK,MANHATTAN,40.728377192876884,-74.00077210938034,26,1119,6.0
Club/Bar/Restaurant,10012.0,NEW YORK,MANHATTAN,40.7287449923226,-74.00031750467517,20,1141,6.0
Club/Bar/Restaurant,10012.0,NEW YORK,MANHATTAN,40.730430272599456,-74.00012267536329,12,1145,6.0
Club/Bar/Restaurant,10014.0,NEW YORK,MANHATTAN,40.73248568650513,-74.00968804444769,71,1153,6.0
Club/Bar/Restaurant,10003.0,NEW YORK,MANHATTAN,40.73419576100388,-73.99148440534006,45,1203,6.0
Club/Bar/Restaurant,10012.0,NEW YORK,MANHATTAN,40.73052633908442,-74.00005412156183,22,1217,6.0
Club/Bar/Restaurant,10014.0,NEW YORK,MANHATTAN,40.73457208524817,-74.00224437702757,16,1280,6.0
Club/Bar/Restaurant,10012.0,NEW YORK,MANHATTAN,40.72842385586966,-73.99967888886464,11,1297,6.0
Club/Bar/Restaurant,10012.0,NEW YORK,MANHATTAN,40.728517177965905,-73.99988815214455,12,1307,6.0
Club/Bar/Restaurant,10014.0,NEW YORK,MANHATTAN,40.740023026623504,-74.0060552616808,10,1320,6.0
Club/Bar/Restaurant,10014.0,NEW YORK,MANHATTAN,40.739405436142995,-74.00644854131382,11,1360,6.0
Club/Bar/Restaurant,10014.0,NEW YORK,MANHATTAN,40.73981712855611,-74.0068022246708,44,1362,6.0
Club/Bar/Restaurant,10011.0,NEW YORK,MANHATTAN,40.73899939088531,-74.00076140678456,11,1376,6.0
Club/Bar/Restaurant,10012.0,NEW YORK,MANHATTAN,40.729763290694336,-73.99878408283416,11,1387,6.0
Club/Bar/Restaurant,10014.0,NEW YORK,MANHATTAN,40.74026182990242,-74.00586402592275,24,1405,6.0
Club/Bar/Restaurant,10014.0,NEW YORK,MANHATTAN,40.73938894450729,-74.0068490925493,37,1453,6.0
Club/Bar/Restaurant,10003.0,NEW YORK,MANHATTAN,40.73453342095126,-73.99226736786994,17,1456,6.0
Club/Bar/Restaurant,10003.0,NEW YORK,MANHATTAN,40.7344565541027,-73.99206531104079,10,1472,6.0
Club/Bar/Restaurant,10011.0,NEW YORK,MANHATTAN,40.73231591812111,-74.00051236454519,12,1475,6.0
Club/Bar/Restaurant,10014.0,NEW YORK,MANHATTAN,40.73322705587843,-74.0052969115318,21,1588,6.0
Club/Bar/Restaurant,10011.0,NEW YORK,MANHATTAN,40.733605931685204,-73.99774483070205,51,1622,6.0
Club/Bar/Restaurant,10014.0,NEW YORK,MANHATTAN,40.732930500380185,-74.00749430265355,14,1624,6.0
Club/Bar/Restaurant,10011.0,NEW YORK,MANHATTAN,40.734981044361966,-73.9973262161017,23,1659,6.0
Club/Bar/Restaurant,10014.0,NEW YORK,MANHATTAN,40.73460504260522,-74.00059898194664,39,1688,6.0
Club/Bar/Restaurant,10014.0,NEW YORK,MANHATTAN,40.74014107499952,-74.00557893393547,10,1705,6.0
Club/Bar/Restaurant,10014.0,NEW YORK,MANHATTAN,40.73296636205425,-74.00383916336429,19,1715,6.0
Club/Bar/Restaurant,10014.0,NEW YORK,MANHATTAN,40.73765444377825,-74.00220117897324,22,1746,6.0
Club/Bar/Restaurant,10014.0,NEW YORK,MANHATTAN,40.73430308996389,-74.00268458161995,17,1812,6.0
Club/Bar/Restaurant,10012.0,NEW YORK,MANHATTAN,40.72822623148523,-73.99925675620547,13,1816,6.0
Club/Bar/Restaurant,10014.0,NEW YORK,MANHATTAN,40.741071540941576,-74.00567644607813,11,1843,6.0
Club/Bar/Restaurant,10012.0,NEW YORK,MANHATTAN,40.729766039742096,-74.00069996421334,22,1910,6.0
Club/Bar/Restaurant,10014.0,NEW YORK,MANHATTAN,40.7297549809049,-74.00434410707909,10,2009,6.0
Club/Bar/Restaurant,10014.0,NEW YORK,MANHATTAN,40.73324077898444,-74.00531134562712,24,2010,6.0
Club/Bar/Restaurant,10014.0,NEW YORK,MANHATTAN,40.73135797584184,-74.00235251324737,69,2072,6.0
Club/Bar/Restaurant,10012.0,NEW YORK,MANHATTAN,40.72970291020953,-74.00072521996701,11,2085,6.0
Club/Bar/Restaurant,10014.0,NEW YORK,MANHATTAN,40.7350853758031,-74.00023093446343,15,2093,6.0
Club/Bar/Restaurant,10014.0,NEW YORK,MANHATTAN,40.73298283402085,-74.00373452543633,11,2106,6.0
Club/Bar/Restaurant,10014.0,NEW YORK,MANHATTAN,40.73618846622149,-74.00832099515121,12,2112,6.0
Club/Bar/Restaurant,10014.0,NEW YORK,MANHATTAN,40.734451314219655,-74.00233818919273,88,2150,6.0
Club/Bar/Restaurant,10014.0,NEW YORK,MANHATTAN,40.74104135186202,-74.00561148738194,17,2169,6.0
Club/Bar/Restaurant,10014.0,NEW YORK,MANHATTAN,40.73350708932276,-74.0035036258247,26,2192,6.0
Club/Bar/Restaurant,10014.0,NEW YORK,MANHATTAN,40.73937514301471,-74.00805074937735,13,2195,6.0
Club/Bar/Restaurant,10014.0,NEW YORK,MANHATTAN,40.73371023420403,-74.0021577493618,19,2210,6.0
Club/Bar/Restaurant,10014.0,NEW YORK,MANHATTAN,40.73814564997957,-74.00537668991963,22,2304,6.0
Club/Bar/Restaurant,10014.0,NEW YORK,MANHATTAN,40.73010354694434,-74.00479513995653,15,2394,6.0
Club/Bar/Restaurant,10014.0,NEW YORK,MANHATTAN,40.73940265805482,-74.00701869744515,22,2411,6.0
Club/Bar/Restaurant,10011.0,NEW YORK,MANHATTAN,40.73571941255414,-74.00058816680823,19,2418,6.0
Club/Bar/Restaurant,10014.0,NEW YORK,MANHATTAN,40.73394352821397,-74.00264126766372,14,2428,6.0
Club/Bar/Restaurant,10012.0,NEW YORK,MANHATTAN,40.72985936203482,-74.00059172315336,17,2437,6.0
Club/Bar/Restaurant,10034.0,NEW YORK,MANHATTAN,40.86637625588829,-73.92825812322728,160,3,34.0
Club/Bar/Restaurant,10034.0,NEW YORK,MANHATTAN,40.86954933988228,-73.9163483681302,271,7,34.0
Club/Bar/Restaurant,10040.0,NEW YORK,MANHATTAN,40.864377032267505,-73.92653574970558,458,16,34.0
Club/Bar/Restaurant,10034.0,NEW YORK,MANHATTAN,40.8621078121332,-73.91928607643042,29,52,34.0
Club/Bar/Restaurant,10034.0,NEW YORK,MANHATTAN,40.86813967399999,-73.9304183327833,14,56,34.0
Club/Bar/Restaurant,10034.0,NEW YORK,MANHATTAN,40.86720968747772,-73.9225338534853,141,102,34.0
Club/Bar/Restaurant,10034.0,NEW YORK,MANHATTAN,40.867691860225115,-73.92121361680864,16,103,34.0
Club/Bar/Restaurant,10034.0,NEW YORK,MANHATTAN,40.86941776211421,-73.91657993473648,28,117,34.0
Club/Bar/Restaurant,10034.0,NEW YORK,MANHATTAN,40.86385195691805,-73.92523119238145,194,119,34.0
Club/Bar/Restaurant,10034.0,NEW YORK,MANHATTAN,40.86587359965432,-73.92765488555312,126,141,34.0
Club/Bar/Restaurant,10040.0,NEW YORK,MANHATTAN,40.85359837276129,-73.93061428416209,18,188,34.0
Club/Bar/Restaurant,10034.0,NEW YORK,MANHATTAN,40.86618344001468,-73.91893042945345,87,190,34.0
Club/Bar/Restaurant,10034.0,NEW YORK,MANHATTAN,40.86920670494563,-73.91697430322539,30,191,34.0
Club/Bar/Restaurant,10034.0,NEW YORK,MANHATTAN,40.865920293467006,-73.92770906652555,117,193,34.0
Club/Bar/Restaurant,10034.0,NEW YORK,MANHATTAN,40.86564533429853,-73.9269320465963,26,221,34.0
Club/Bar/Restaurant,10034.0,NEW YORK,MANHATTAN,40.86797938997047,-73.92024792067538,42,243,34.0
Club/Bar/Restaurant,10034.0,NEW YORK,MANHATTAN,40.8693190628289,-73.91673191529006,10,288,34.0
Club/Bar/Restaurant,10034.0,NEW YORK,MANHATTAN,40.86522878423971,-73.91964382982327,55,291,34.0
Club/Bar/Restaurant,10040.0,NEW YORK,MANHATTAN,40.857011148904746,-73.93248689161432,147,316,34.0
Club/Bar/Restaurant,10033.0,NEW YORK,MANHATTAN,40.85205827756883,-73.93477640780834,86,324,34.0
Club/Bar/Restaurant,10033.0,NEW YORK,MANHATTAN,40.85237108974576,-73.93462789776359,100,399,34.0
Club/Bar/Restaurant,10033.0,NEW YORK,MANHATTAN,40.85180411937848,-73.93192828614174,250,442,34.0
Club/Bar/Restaurant,10034.0,NEW YORK,MANHATTAN,40.86620047158243,-73.92805946220679,98,462,34.0
Club/Bar/Restaurant,10040.0,NEW YORK,MANHATTAN,40.85650353983471,-73.93276214226914,28,472,34.0
Club/Bar/Restaurant,10040.0,NEW YORK,MANHATTAN,40.860499539907295,-73.92775111040335,10,508,34.0
Club/Bar/Restaurant,10040.0,NEW YORK,MANHATTAN,40.86323822887115,-73.92692384541492,24,534,34.0
Club/Bar/Restaurant,10034.0,NEW YORK,MANHATTAN,40.86573351578925,-73.92748872765371,63,553,34.0
Club/Bar/Restaurant,10033.0,NEW YORK,MANHATTAN,40.85465602459481,-73.93704036428274,22,621,34.0
Club/Bar/Restaurant,10040.0,NEW YORK,MANHATTAN,40.85734315591793,-73.93231303531637,29,628,34.0
Club/Bar/Restaurant,10033.0,NEW YORK,MANHATTAN,40.85198792048085,-73.93176905150462,28,669,34.0
Club/Bar/Restaurant,10033.0,NEW YORK,MANHATTAN,40.84862709282071,-73.9342412100782,14,687,34.0
Club/Bar/Restaurant,10040.0,NEW YORK,MANHATTAN,40.863282054634674,-73.92678280024691,286,688,34.0
Club/Bar/Restaurant,10040.0,NEW YORK,MANHATTAN,40.857175780096576,-73.9323999650772,20,712,34.0
Club/Bar/Restaurant,10033.0,NEW YORK,MANHATTAN,40.850448186397905,-73.93666119849158,10,720,34.0
Club/Bar/Restaurant,10040.0,NEW YORK,MANHATTAN,40.862651831098994,-73.92846821162466,79,791,34.0
Club/Bar/Restaurant,10034.0,NEW YORK,MANHATTAN,40.86553575890189,-73.92726840202711,88,793,34.0
Club/Bar/Restaurant,10034.0,NEW YORK,MANHATTAN,40.86895885480603,-73.91583207771643,65,803,34.0
